lon,lat,series_id,study_id,spatial_unit,variable,taxonname,species_code,site_number,unit,ott_id,name_cleaned,ncbi_id,genus,family,order,class,phylum,kingdom,taxon_rank
17.08,-22.73,seriesM00043_site001_speciesACAMEL_varialbe_fruit_unit_% individuals reproducing,M00043,patch,fruit,Acacia mellifera,ACAMEL,001,% individuals reproducing,891260,Senegalia mellifera,381101,Senegalia,Fabaceae,Fabales,Magnoliopsida,Streptophyta,Viridiplantae,species
-119.4816,39.21,seriesM10120_site001_speciesPINMNP_varialbe_cone_unit_cones/individual,M10120,stand,cone,Pinus monophylla,PINMNP,001,cones/individual,225275,Pinus monophylla,151562,Pinus,Pinaceae,Pinales,Pinopsida,Streptophyta,Viridiplantae,species
-119.4816,39.21,seriesM10120_site002_speciesPINMNP_varialbe_cone_unit_cones/individual,M10120,stand,cone,Pinus monophylla,PINMNP,002,cones/individual,225275,Pinus monophylla,151562,Pinus,Pinaceae,Pinales,Pinopsida,Streptophyta,Viridiplantae,species
-119.4816,39.21,seriesM10120_site003_speciesPINMNP_varialbe_cone_unit_cones/individual,M10120,stand,cone,Pinus monophylla,PINMNP,003,cones/individual,225275,Pinus monophylla,151562,Pinus,Pinaceae,Pinales,Pinopsida,Streptophyta,Viridiplantae,species
140.22,42.02,seriesM00402_site001_speciesFAGCRE_varialbe_seed_unit_seeds/m2,M00402,patch,seed,Fagus crenata,FAGCRE,001,seeds/m2,288140,Fagus crenata,28929,Fagus,Fagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,species
139.97,42.52,seriesM00402_site002_speciesFAGCRE_varialbe_seed_unit_seeds/m2,M00402,patch,seed,Fagus crenata,FAGCRE,002,seeds/m2,288140,Fagus crenata,28929,Fagus,Fagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,species
140.38,42.7,seriesM00402_site003_speciesFAGCRE_varialbe_seed_unit_seeds/m2,M00402,patch,seed,Fagus crenata,FAGCRE,003,seeds/m2,288140,Fagus crenata,28929,Fagus,Fagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,species
140.17,41.72,seriesM00402_site004_speciesFAGCRE_varialbe_seed_unit_seeds/m2,M00402,patch,seed,Fagus crenata,FAGCRE,004,seeds/m2,288140,Fagus crenata,28929,Fagus,Fagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,species
141.02,41.78,seriesM00402_site005_speciesFAGCRE_varialbe_seed_unit_seeds/m2,M00402,patch,seed,Fagus crenata,FAGCRE,005,seeds/m2,288140,Fagus crenata,28929,Fagus,Fagaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,species
136.3333,34.5,seriesM10133_site001_speciesCRYJAP_varialbe_fruit_unit_seeds/m2,M10133,stand,fruit,Cryptomeria japonica,CRYJAP,001,seeds/m2,620749,Cryptomeria japonica,3369,Cryptomeria,Cupressaceae,Cupressales,Pinopsida,Streptophyta,Viridiplantae,species
136.3333,34.5,seriesM10133_site001_speciesCRYJAP_varialbe_pollen_unit_grains/m2,M10133,stand,pollen,Cryptomeria japonica,CRYJAP,001,grains/m2,620749,Cryptomeria japonica,3369,Cryptomeria,Cupressaceae,Cupressales,Pinopsida,Streptophyta,Viridiplantae,species
99.78,7.57,seriesM00253_site001_speciesALLCOB_varialbe_fruit_unit_% individuals reproducing,M00253,stand,fruit,Allophylus cobbe,ALLCOB,001,% individuals reproducing,956619,Allophylus cobbe,201005,Allophylus,Sapindaceae,Sapindales,Magnoliopsida,Streptophyta,Viridiplantae,species
99.78,7.57,seriesM00253_site001_speciesARTELA_varialbe_fruit_unit_% individuals reproducing,M00253,stand,fruit,Artocarpus elasticus,ARTELA,001,% individuals reproducing,513376,Artocarpus elasticus,709042,Artocarpus,Moraceae,Rosales,Magnoliopsida,Streptophyta,Viridiplantae,species
99.78,7.57,seriesM00253_site001_speciesCALATR_varialbe_fruit_unit_% individuals reproducing,M00253,stand,fruit,Callerya atropurpurea,CALATR,001,% individuals reproducing,665539,Callerya atropurpurea,54881,NA,NA,NA,NA,NA,NA,NA
99.78,7.57,seriesM00253_site001_speciesCANDEN_varialbe_fruit_unit_% individuals reproducing,M00253,stand,fruit,Canarium denticulatum,CANDEN,001,% individuals reproducing,6124448,Canarium denticulatum,NA,NA,NA,NA,NA,NA,NA,NA
99.78,7.57,seriesM00253_site001_speciesDIAPLA_varialbe_fruit_unit_% individuals reproducing,M00253,stand,fruit,Dialium platysepalum,DIAPLA,001,% individuals reproducing,3916894,Dialium platysepalum,1608028,Dialium,Fabaceae,Fabales,Magnoliopsida,Streptophyta,Viridiplantae,species
99.78,7.57,seriesM00253_site001_speciesDILEXC_varialbe_fruit_unit_% individuals reproducing,M00253,stand,fruit,Dillenia excelsa,DILEXC,001,% individuals reproducing,5729462,Dillenia excelsa,1504408,Dillenia,Dilleniaceae,Dilleniales,Magnoliopsida,Streptophyta,Viridiplantae,species
99.78,7.57,seriesM00253_site001_speciesGARBRE_varialbe_fruit_unit_% individuals reproducing,M00253,stand,fruit,Garcinia brevirostris,GARBRE,001,% individuals reproducing,729736,Garcinia eugeniifolia,469927,Garcinia,Clusiaceae,Malpighiales,Magnoliopsida,Streptophyta,Viridiplantae,species
99.78,7.57,seriesM00253_site001_speciesGARCEL_varialbe_fruit_unit_% individuals reproducing,M00253,stand,fruit,Garcinia celebica,GARCEL,001,% individuals reproducing,729746,Garcinia celebica,469923,Garcinia,Clusiaceae,Malpighiales,Magnoliopsida,Streptophyta,Viridiplantae,species
99.78,7.57,seriesM00253_site001_speciesGIRNER_varialbe_fruit_unit_% individuals reproducing,M00253,stand,fruit,Gironniera nervosa,GIRNER,001,% individuals reproducing,5922201,Gironniera nervosa,1827312,Gironniera,Cannabaceae,Rosales,Magnoliopsida,Streptophyta,Viridiplantae,species
99.78,7.57,seriesM00253_site001_speciesPALHIS_varialbe_fruit_unit_% individuals reproducing,M00253,stand,fruit,Palaquium hispidum,PALHIS,001,% individuals reproducing,3901220,Palaquium hispidum,NA,NA,NA,NA,NA,NA,NA,NA
