taxonname,name_cleaned,search_string,unique_name,approximate_match,score,ott_id,is_synonym,flags,number_matches
Dendrocopos major,Dendrocopos major,dendrocopos major,Dendrocopos major,FALSE,1,348848,FALSE,sibling_higher,1
Dendrocopos minor,Dendrocopos minor,dendrocopos minor,Dendrocopos minor,FALSE,1,701710,FALSE,sibling_higher,1
Pica pica,Pica pica,pica pica,Pica pica,FALSE,1,776471,FALSE,NA,1
Garrulus glandarius,Garrulus glandarius,garrulus glandarius,Garrulus glandarius,FALSE,1,140432,FALSE,NA,1
Parus major,Parus major,parus major,Parus major,FALSE,1,515143,FALSE,NA,1
Parus caeruleus,Cyanistes caeruleus,parus caeruleus,Cyanistes caeruleus,FALSE,1,746120,TRUE,NA,1
Parus afer,Melaniparus afer,parus afer,Melaniparus afer,FALSE,1,4131698,TRUE,NA,1
Parus palustrus,Poecile palustris,parus palustrus,Poecile palustris,TRUE,0.933333337,17260,FALSE,NA,3
Parus montanus,Poecile montanus,parus montanus,Poecile montanus,FALSE,1,17269,TRUE,NA,1
Aegithalos caudatus,Aegithalos caudatus,aegithalos caudatus,Aegithalos caudatus,FALSE,1,467867,FALSE,NA,1
Sitta europaea,Sitta europaea,sitta europaea,Sitta europaea,FALSE,1,82242,FALSE,NA,1
Certhia familiaris,Certhia familiaris,certhia familiaris,Certhia familiaris,FALSE,1,1007196,FALSE,NA,1
Troglodytes troglodytes,Troglodytes troglodytes,troglodytes troglodytes,Troglodytes troglodytes,FALSE,1,259813,FALSE,NA,1
Turdus viscivorus,Turdus viscivorus,turdus viscivorus,Turdus viscivorus,FALSE,1,1002259,FALSE,NA,1
Turdus philomelos,Turdus philomelos,turdus philomelos,Turdus philomelos,FALSE,1,1082345,FALSE,NA,1
Turdus merula,Turdus merula,turdus merula,Turdus merula,FALSE,1,568572,FALSE,NA,1
Erithacus rubecula,Erithacus rubecula,erithacus rubecula,Erithacus rubecula,FALSE,1,507122,FALSE,NA,1
Sylvia atricapilla,Sylvia atricapilla,sylvia atricapilla,Sylvia atricapilla,FALSE,1,726312,FALSE,NA,1
Sylvia borin,Sylvia borin,sylvia borin,Sylvia borin,FALSE,1,261410,FALSE,NA,1
Phylloscopus trochilus,Phylloscopus trochilus,phylloscopus trochilus,Phylloscopus trochilus,FALSE,1,96282,FALSE,NA,1
Phylloscopus collybita,Phylloscopus collybita,phylloscopus collybita,Phylloscopus collybita,FALSE,1,726307,FALSE,NA,1
Pyrrhula pyrrhula,Pyrrhula pyrrhula,pyrrhula pyrrhula,Pyrrhula pyrrhula,FALSE,1,1083726,FALSE,NA,1
Fringilla coelebs,Fringilla coelebs,fringilla coelebs,Fringilla coelebs,FALSE,1,828694,FALSE,NA,1
Aricia agestis,Aricia agestis,aricia agestis,Aricia agestis,FALSE,1,390969,FALSE,sibling_higher,1
Lysandra bellargus,Lysandra bellargus,lysandra bellargus,Lysandra bellargus,FALSE,1,1056427,FALSE,NA,1
Lysandra coridon,Lysandra coridon,lysandra coridon,Lysandra coridon,FALSE,1,13079,FALSE,NA,1
Polygonia c-album,Polygonia c-album,polygonia c-album,Polygonia c-album,FALSE,1,522165,FALSE,NA,1
Polyommatus icarus,Polyommatus icarus,polyommatus icarus,Polyommatus icarus,FALSE,1,854609,FALSE,sibling_higher,1
Mesoacidalia aglaja,Argynnis aglaja,mesoacidalia aglaja,Argynnis aglaja,FALSE,1,8220,TRUE,NA,1
Erynnis tages,Erynnis tages,erynnis tages,Erynnis tages,FALSE,1,459764,FALSE,NA,1
Pieris napi,Pieris napi,pieris napi,Pieris napi,FALSE,1,731676,FALSE,NA,1
Pyronia tithonus,Pyronia tithonus,pyronia tithonus,Pyronia tithonus,FALSE,1,761559,FALSE,NA,1
Ochlodes venata,Ochlodes venata,ochlodes venata,Ochlodes venata,FALSE,1,436321,FALSE,NA,1
Pieris brassicae,Pieris brassicae,pieris brassicae,Pieris brassicae,FALSE,1,167943,FALSE,NA,1
Melanargia galathea,Melanargia galathea,melanargia galathea,Melanargia galathea,FALSE,1,627797,FALSE,NA,1
Maniola jurtina,Maniola jurtina,maniola jurtina,Maniola jurtina,FALSE,1,283881,FALSE,NA,1
Vanessa cardui,Vanessa cardui,vanessa cardui,Vanessa cardui,FALSE,1,624277,FALSE,NA,1
Vanessa atalanta,Vanessa atalanta,vanessa atalanta,Vanessa atalanta,FALSE,1,581038,FALSE,NA,1
Cupido minimus,Cupido minimus,cupido minimus,Cupido minimus,FALSE,1,748179,FALSE,NA,1
Lycaena phlaeas,Lycaena phlaeas,lycaena phlaeas,Lycaena phlaeas,FALSE,1,6211,FALSE,sibling_higher,1
Coenonympha pamphilus,Coenonympha pamphilus,coenonympha pamphilus,Coenonympha pamphilus,FALSE,1,145068,FALSE,NA,1
Aglais urticae,Aglais urticae,aglais urticae,Aglais urticae,FALSE,1,495335,FALSE,NA,1
Pieris rapae,Pieris rapae,pieris rapae,Pieris rapae,FALSE,1,634345,FALSE,NA,1
Pararge aegeria,Pararge aegeria,pararge aegeria,Pararge aegeria,FALSE,1,989684,FALSE,NA,1
Lasiommata megera,Lasiommata megera,lasiommata megera,Lasiommata megera,FALSE,1,106375,FALSE,NA,1
Inachis io,Aglais io,aglais io,Aglais io,FALSE,1,1020541,FALSE,NA,2
Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,acrocephalus schoenobaenus,Acrocephalus schoenobaenus,FALSE,1,1071378,FALSE,NA,1
Muscicapa striata,Muscicapa striata,muscicapa striata,Muscicapa striata,FALSE,1,116518,FALSE,NA,2
Carduelis flammea,Acanthis flammea,carduelis flammea,Acanthis flammea,FALSE,1,38566,TRUE,NA,1
Acrocephalus scirpaceus,Acrocephalus scirpaceus,acrocephalus scirpaceus,Acrocephalus scirpaceus,FALSE,1,726310,FALSE,NA,1
Sylvia communis,Sylvia communis,sylvia communis,Sylvia communis,FALSE,1,862895,FALSE,NA,1
Sylvia curruca,Sylvia curruca,sylvia curruca,Sylvia curruca,FALSE,1,463174,FALSE,NA,1
Carduelis cannabina,Linaria cannabina,carduelis cannabina,Linaria cannabina,FALSE,1,637969,TRUE,NA,1
Erranis leucophaeria,Erannis leucophaearia,erranis leucophaeria,Erannis leucophaearia,TRUE,0.857142866,7710007,FALSE,NA,1
Erranis defolaria,Erannis defoliaria,erranis defolaria,Erannis defoliaria,TRUE,0.833333313,523459,FALSE,NA,1
Erranis aurantiaria,Erannis aurantiaria,erranis aurantiaria,Erannis aurantiaria,TRUE,0.894736826,3074913,FALSE,NA,2
Vulpes vulpes,Vulpes vulpes,vulpes vulpes,Vulpes vulpes,FALSE,1,821964,FALSE,NA,1
