ID,error,error_reason,whole_estimate.r,whole_estimate.K,whole_estimate.sigma,whole_se.r,whole_se.K,whole_se.sigma,whole_converged,part,estimate.r,estimate.K,estimate.sigma,se.r,se.K,se.sigma,converged
2002,FALSE,NA,2.5389973333754083,9.15756688484076,0.5614069263079278,0.280564326801226,0.6404940717745043,0.12551024921852658,TRUE,2,2.7445567492796776,10.52905671055085,0.4612447896692294,0.2981788093501424,0.8022476091631433,0.14585969735305884,TRUE
2022,FALSE,NA,0.32562868836764836,17465.780558874612,0.697716042799871,0.3794522602998599,13589.496574244413,0.1644749245753804,TRUE,1,1.0759757092911042,35601.58240796289,0.41095453276105315,0.6590927337228395,6952.1090891899785,0.14530215873701155,TRUE
2022,FALSE,NA,0.32562868836764836,17465.780558874612,0.697716042799871,0.3794522602998599,13589.496574244413,0.1644749245753804,TRUE,2,0.7285711386933864,7531.172531347913,0.6271080016425892,0.5221427875222625,3314.4505859732335,0.22172800217877403,TRUE
2030,FALSE,NA,0,1,1,NA,NA,NA,FALSE,1,0,1,1,NA,NA,NA,FALSE
2030,FALSE,NA,0,1,1,NA,NA,NA,FALSE,2,0,1,1,NA,NA,NA,FALSE
2072,FALSE,NA,0.36884937427702646,10.909393995645884,0.17983521208545372,0.10237400491617048,1.1895928701755154,0.02595924325932161,TRUE,1,0.4213774065145324,11.438493578396368,0.1680141685453768,0.11484378874340374,1.5454895274990508,0.034292529088069075,TRUE
2072,FALSE,NA,0.36884937427702646,10.909393995645884,0.17983521208545372,0.10237400491617048,1.1895928701755154,0.02595924325932161,TRUE,2,0.25463520405211765,10.310508669946078,0.18519280679862452,0.19078442562804288,2.2102845331777496,0.037802253355116396,TRUE
2724,FALSE,NA,0.5855008919743219,5.7747661743799,0.7885125376870303,0.4544974298988204,2.755384793387849,0.19709541865455463,TRUE,1,0.3637045894113793,4.480510316591006,0.5415149745890614,0.6749085914079522,4.993555531219822,0.19145686564544923,TRUE
2724,FALSE,NA,0.5855008919743219,5.7747661743799,0.7885125376870303,0.4544974298988204,2.755384793387849,0.19709541865455463,TRUE,2,0.6450201605221275,5.98054079159023,0.9699768691678883,1.4031310570083508,20.734895757585594,0.3429828875632627,TRUE
2798,FALSE,NA,0.840648857065836,23.4757977278849,0.7488009951080291,0.5079511747880552,6.9790478688808495,0.1765008095894695,TRUE,1,2.117209865286684,31.808605551988393,0.535008498724439,1.459551883403631,4.536547782461771,0.18913468394725336,TRUE
2798,FALSE,NA,0.840648857065836,23.4757977278849,0.7488009951080291,0.5079511747880552,6.9790478688808495,0.1765008095894695,TRUE,2,1.4697651683266466,22.27619280225555,0.5818697472442275,0.4957806850646662,4.870383456731354,0.20572329023796845,TRUE
2849,FALSE,NA,0.6241802995334321,4.4046578172986965,1.0639703107557912,0.42014610317671625,2.6111034398708854,0.25080230648529733,TRUE,1,1.1552826750833254,1.2500191826173095,0.28297458793022423,0.4322455978024187,0.15308862958129027,0.1000460390114018,TRUE
2849,FALSE,NA,0.6241802995334321,4.4046578172986965,1.0639703107557912,0.42014610317671625,2.6111034398708854,0.25080230648529733,TRUE,2,1.3745296263451856,7.186631299190587,1.0789222597136179,0.7462102806737517,2.8997731769416233,0.38145071113757273,TRUE
